id	de	en	hu	
NO_BEACONS_NEARBY_NOTIFICATION_KEY	Sie müssen sich im Museum befinden, um diesen Dienst zu nutzen.	You should be inside the museum to finish Guided Tour.	A tárlatvezetés befejezéséhez a múzeum területén kell lenned.	
Service API is unaivaible.	Unsere Dienste sind aktuell nicht verfügbar. Bitte nochmals versuchen.	Our service is currently unavailable. Please retry.	A szolgáltatás jelenleg nem elérhető. Próbálkozz újra.	
Settings	Einstellungen	Settings	Beállítások	
Share the App	App teilen	Share the App	Applikáció megosztása	
SHOW VOUCHER	GUTSCHEIN ANZEIGEN	SHOW VOUCHER	Kupon(ok)	
SOME ERROR OCCURRED	Es gab einen Fehler.	There was an error.	Hiba történt.	
Some service error occurred	Einige Dienste sind aktuell nicht verfügbar. Bitte nochmals versuchen.	Some of the services are unavailable. Please try again.	A szolgáltatások némelyike nem elérhető.	
Something is wrong	Ooops - es gab ein Problem.	Ooops - there was an issue.	Hoppá, probléma merült fel.	
Starts	Starte	Starts	Kezdés	
Startscreen	Home	Home	Nyitóoldal	
Tap here to redeem your voucher!	Zum Einlösen hier tippen!	Tap here to redeem your voucher!	Érints ide a kupon beváltásához!	
BLE_UNAVAILABLE_KEY	Die App hat leider keine Erlaubnis, Bluetooth zu nutzen.	The app is not authorized to use Bluetooth Low Energy.	Alacsony energia szint miatt, a Bluetooth használata nem engedélyezett az applikáció számára.	
UPDATE_IMMINENT_KEY	Verbindung zum Dienst verloren. Bitte erneut versuchen	The connection with the system service was momentarily lost, update imminent.	A kapcsolat a szolgáltatással egy pillanatra megszakadt, a helyreállítás folyamatban van.	
NO_BLE_KEY	Ihr Geräte unterstützt kein Bluetooth Low Energy - Indoor Navigation funktioniert nicht.	Your device doesn't support Bluetooth Low Energy - Indoor Navigation won't work.	A eszközöd nem engedélyezi a Bluetooth használatát az alacsony energia szint miatt. A beltéri navigáció nem fog működni. 	
Through	Bis	Through	Keresztül	
Till	Bis	Till	-ig	
No Featured Guided Tours	Aktuell gibt es keine Audioguides	Currently there are no Featured Guided Tours	Jelenleg nem áll rendelkezésre tárlatvezetés.	
START THE TOUR	AUDIOGUIDE STARTEN	START THE TOUR	Tárlatvezetés megkezdése	
All Guided Tours	Alle Audioguides	All Guided Tours	Tárlatvezetések	
Featured Guided Tours	Audioguides	Guided Tours	Kiemelt tárlatvezetések	
Guided Tour	Audioguide	Guided Tour	Túrák	
Guided Tours	Audioguides	Guided Tours	Tematikus séták	
TOUR FINISHED	GUIDE BEENDET	TOUR FINISHED	VÉGE	
TOURS	GUIDES	TOURS	Tematikus Séták	
tour_finish_message	Audioguide erfolgreich beendet!	You have finished the tour!	Befejezted a tárlatot.	
UPCOMING	DEMNÄCHST	UPCOMING	KÖZELGŐ	
VISITED	BESUCHT	VISITED	LÁTOGATOTT	
Voucher expired	Gutschein abgelaufen	Voucher expired	A kupon lejárt.	
Voucher not found or not avialable	Gutschein nicht gefunden oder nicht mehr verfügbar	Voucher not found or not available	Nem található kupon, vagy nem áll rendelkezésre.	
Vouchers	Gutscheine	Vouchers	Utalvány	
You are outside of the museum	Sie sind ausserhalb des Museums	You are outside of the museum	A múzeum területén kívül vagy.	
SEE ALL	ALLE	SEE ALL	ÖSSZES	
No data	Zurzeit gibt es keine Einträge. Bitte versuchen Sie es später.	Currently there are no items. Please check back later.	Jelenleg nem áll rendelkezésre tartalom. Kérjük, látogasson vissza később.	
TAKE ME HERE	ZEIGE DEN WEG	TAKE ME HERE	VEZESS IDE	
ROUTE TO HERE	ROUTE HIERHIN	ROUTE TO HERE	ÚTVONAL IDE	
ROUTED TO HERE	HIERHIN GEFÜHRT	ROUTED TO HERE	IDE VEZETVE	
YOU'RE HERE	SIE SIND HIER	YOU'RE HERE	ITT ÁLLSZ	
What are you looking for?	Was suchen Sie?	What are you looking for?	Mit keresel?	
READ MORE	WEITERLESEN	READ MORE	BŐVEBBEN	
Internet connection appears to be offline	Die Internetverbindung scheint unterbrochen.	No internet connection. Please check.	Nincs internet kapcsolatod. Ellenőrizd kérlek!	
Play audio	Audio starten	Play audio	Hang lejátszása	
Play video	Video starten	Play video	Videó lejátszása	
START QUIZ	STARTE QUIZ	START QUIZ	KVÍZ INDÍTÁSA	
Show all	Alle anzeigen	Show all	Összes mutatása	
Show notifications	Zeige Hinweise	Show Notifications	Értesítők mutatása	
Play audio automatically	Audio Automatisch Starten	Play Audio Automatically	Hang lejátszása automatikusan	
SHARE	TEILEN	SHARE	MEGOSZTÁS	
RATE	BEWERTEN	RATE	ÉRTÉKELÉS	
SAVE	MERKEN	LIKE	LIKE	
SAVED	GEMERKT	LIKED	LIKED	
Keywords	Stichworte	Keywords	Kulcsszavak	
Voucher is not available yet	Gutschein noch nicht verfügbar	Voucher is not available yet	Még nem áll rendelkezésre utalvány.	
Please show voucher to staff.	Bitte Gutschein dem Personal vorweisen	Please show voucher to staff.	Kérlek mutasd be utalványod a személyzetnek.	
Encash at	Einlösen bei	Encash at	Beváltható a(z)	
Valid till	Gültig bis	Valid till	Lejárati idő	
Important:	Wichtig:	Important:	Fontos:	
Redeem	Einlösen	Redeem	Beváltás	
coffee_houses	Essen & Trinken	Eating & Drinking	Étel & Ital	
stores	Shops	Shops	Shops	
toilets	Toiletten	Toilets	Mosdók	
No, thanks	Nein danke	No, thanks	Nem, köszönöm.	
YES	JA	YES	IGEN	
visited_progress_format	Sie haben %lu/%lu besucht	You have visited %lu/%lu exhibits	%lu/%lu látogatott kiállítási tárgy	
no_facilities_near_you	Keine Anlagen in der Nähe	No facilities near you	Nincsenek kiszolgáló helyiségek a közeledben.	
indoors_license_exceeded	Indoors Lizenz überschritten	Indoors license is exceeded	Indoors license is exceeded.	
indoors_license_not_existing	Indoors Lizenz existiert nicht	Indoors license does not exist	Indoors license does not exist.	
indoors_already_registered	Indoors Autorisation bereits vorgenommen	Indoors authorization was already done	Indoors authorization was already done.	
indoors_auth_obligatory	Indoors Autorisation ist zwingend	Indoors authorization is obligatory	Indoors authorization is obligatory.	
indoors_no_building_found	Kein Gebäude gefunden	No building found	Nem található épület.	
indoors_loading_buildings_failed	Konnte Gebäude nicht laden	Loading buildings has failed	Az épület betöltése sikertelen.	
indoors_loading_building_failed	Konnte Gebäude nicht laden	Loading building has failed	Az adatok betöltése sikertelen.	
indoors_unzip_building_failed	Konnte Gebäude nicht entpacken	Unzipping building has failed	Hiba az épület kicsomagolása közben.	
indoors_downloading_building_failed	Konnte Gebäude nicht herunterladen	Downloading building has failed	Hiba az épület betöltése közben.	
unable_to_play_audio	Audio kann nicht gespielt werden	Unable to play audio	Hanganyag nem elérhető.	
levels	Themen	Topics	Témák	
playback_failed_with_error	Audio spielen schlug fehl:	Playback failed with error description:	A lejátszás nem sikerült. A hiba oka:	
playback_failed	Audio Fehler	Playback failed	A lejátszás nem sikerült.	
gallery	Ausstellung	Gallery	Galéria	
galleries_first_plural_form	Ausstellungen	Galleries	Galériák	
galleries_second_plural_form	Ausstellungen	Galleries	Galériák	
galleries_general_plural_form	Ausstellungen	Galleries	Galériák	
exhibit	Objekt	exhibit	kiállítási tárgy	
exhibits_first_plural_form	Objekte	exhibits	kiállítási tárgy	
exhibits_second_plural_form	Objekte	exhibits	kiállítási tárgy	
exhibits_general_plural_form	Objekte	Exhibits	Látnivalók	
exhibitions_general_plural_form	Sonderausstellungen	Exhibitions	Kiállítások	
likes_exhibitions_general_plural_form	Ausstellungen	Exhibitions	Kiállítások	
Feedback	Feedback	Feedback	Vendégkönyv	
feedback_question	Bitte geben Sie uns Feedback	Send us a feedback	Küldd el észrevételeid nekünk!	
feedback_footer_title	Mit Ihrem Feedback können wir uns stets verbessern.	Send us a feedback, and help us improve our application.	Küldd el észrevételeid, segíts fejleszteni alkalmazásunkat.	
welcome_to_museum_message	Willkommen im Museum	Welcome to museum	Üdvözlünk a múzeumban	
galleries_tutorial_info	Erkunden Sie unsere Sammlungen und faszinierenden Ausstellungsstücke.	Explore our galleries and find out about our amazing exhibits.	Ismerd meg kiállításainkat és fedezd fel a csodálatos kiállítási tárgyainkat!	
exhibitions_tutorial_info	Finden Sie aktuelle und kommende Ausstellungen - es gibt viel zu sehen.	See ongoing and future exhibitions - there is a lot to see.	Aktuális és jövőbeni kiállítások megtekintése - van bőven látnivaló.	
guided_tours_tutorial_info	Lassen Sie sich durchs Museum führen - ein interaktives Erlebnis.	Let our app navigate you through our museum - an interactive multimedia experience.	Engedd, hogy alkalmazásunk vezessen végig a múzeumon egy interaktív multimédiás élmény segítségével.	
vouchers_tutorial_info	Erhalten Sie Gutscheine für beendete Audio Touren und Quizze!	Retrieve vouchers for finished guided tours and quizzes!	Elérhető utalványok befejezett tárlatokért és kitöltött kvízekért cserében!	
events_tutorial_info	Wir freuen uns auf Sie bei unseren Programmen im Museum.	Please come in and find out our programs and events.		
skip	Überspringen	Skip	Kihagyás	
loading_text	Bitte warten - Lade Inhalte	Please wait - Loading contents	Kérlek várj a tartalom betöltéséig	
paste_share_text	Erzählen Sie Freunden von Ihrem Erlebnis!\n\nSie können einfach die vorgefasste Nachricht einfügen.	Write to your friends about your experience!\n\nYou also can just PASTE for a preset message.	Oszd meg élményeid barátaiddal!	
routing_is_not_available_yet	Routing ist aktuell leider nicht verfügbar	Routing is not available yet	Még nem áll rendelkezésre útvonal.	
start_now	Los geht's	Start now!	Indítás!	
near_me	In der Nähe	Near Me	Közelemben	
Artists	Künstler	Artists	Művészek	
Age	Alter	Age	Kor	
Location	Standort	Location	Helyszín	
try_again	Nochmals versuchen	Try again	Próbáld újra!	
Artwork	Artwork	Artwork	Borító	
Medium	Medium	Medium	Közepes	
facility	Einrichtung	facility	Szolgáltatás	
facilities_first_plural_form	Einrichtungen	facilities	Szolgáltatások	
facilities_second_plural_form	Einrichtungen	facilities	Szolgáltatások	
facilities_general_plural_form	Einrichtungen	Facilities	Szolgáltatások	
facility_categories_title	Einrichtungen	Facilities	Szolgáltatások	
send_feedback	Feedback senden	Send us your feedback	Vendégkönyv	
select_account_text	Please select account	Please select account	Válassz fiókot!	
earphones_mode_title_key	Ohrhörer	Earphone Mode	Fülhallgató mód	
earphones_mode_info_key	Audio und Videoinhalte nur bei Verwendung von Ohrhörern.	Audio and video only if earphones are pluged in.	Hang és videó lejátszása csak akkor lehetséges, ha a fülhallgató csatlakoztatva van.	
plug_in_earphones_message	Bitte verwenden Sie Ohrhörer für die Audio- und Videoinhalte.	To listen to audio and video content, kindly use earphones.	A hang- és videófájlok lejátszásához használd a fülhallgatót.	
content_type_settings_header	Inhalt	Content	Tartalom	
content_type_setting	Art des Inhalts	Content Type	Tartalom fajta	
kids_content	Kinder	Kids	Gyermek	
normal_content	Standard	Default	Általános	
special_content	Spezialist	Specialist	Szakértő	
sub_points_title	Mehr entdecken	Explore more	Mutass többet	
till_date_format	'Bis' dd MMMM yyyy	'Till' dd MMMM yyyy	yyyy. MMMM dd'-ig'	
till_date_time_format	'Bis' dd MMMM yyyy hh:mm a	'Till' dd MMMM yyyy hh:mm a	yyyy. MMMM dd HH:mm'-ig'	
common_date_format	dd MMMM yyyy	dd MMMM yyyy	yyyy. MMMM dd	
common_date_time_format	dd MMMM yyyy hh:mm	dd MMMM yyyy hh:mm a	yyyy. MMMM dd HH:mm	
Map	Karte	Map	Térkép	
Events	Heute im Museum	Events	Programok	
price	Price	Price	Jegyár	
place	Place	Place	Helység	
event_type	Event type	Event type	Típus	
welcome_to_exhibition_format	Welcome to %@	Welcome to %@	Üdvözlünk a(z) %@ kiállításunkon!	
no_building_provided	No building provided	No building provided	Az épület térképe jelenleg nem elérhető.	
feedback_no_internet_connection	No internet connection to display content	No internet connection to display content	Hiányzó internet kapcsolat a tartalom megjelenítéséhez	
Please restart the app	Please restart the app.	Please restart the app.	Indítsd újra az alkalmazást!	
